date,googlehits,team,odds,propTVMarketSize,winpct,attendance,attgame,payroll,date_ts,month,year,playoffs,phase,is_playoffs
2004-01-01,0,Arizona Diamondbacks,1600,1880000,0.315,2519560,31106,69780750,2004 Jan,1,2004,No Playoffs,Off-Season,0
2004-02-01,0,Arizona Diamondbacks,1600,1880000,0.315,2519560,31106,69780750,2004 Feb,2,2004,No Playoffs,Off-Season,0
2004-03-01,1,Arizona Diamondbacks,1600,1880000,0.315,2519560,31106,69780750,2004 Mar,3,2004,No Playoffs,Off-Season,0
2004-04-01,1,Arizona Diamondbacks,1600,1880000,0.315,2519560,31106,69780750,2004 Apr,4,2004,No Playoffs,Opening,0
2004-05-01,1,Arizona Diamondbacks,1600,1880000,0.315,2519560,31106,69780750,2004 May,5,2004,No Playoffs,Season,0
2004-06-01,1,Arizona Diamondbacks,1600,1880000,0.315,2519560,31106,69780750,2004 Jun,6,2004,No Playoffs,Season,0
2004-07-01,1,Arizona Diamondbacks,1600,1880000,0.315,2519560,31106,69780750,2004 Jul,7,2004,No Playoffs,Season,0
2004-08-01,1,Arizona Diamondbacks,1600,1880000,0.315,2519560,31106,69780750,2004 Aug,8,2004,No Playoffs,Season,0
2004-09-01,1,Arizona Diamondbacks,1600,1880000,0.315,2519560,31106,69780750,2004 Sep,9,2004,No Playoffs,Season,0
2004-10-01,0,Arizona Diamondbacks,1600,1880000,0.315,2519560,31106,69780750,2004 Oct,10,2004,No Playoffs,Playoffs,1
2004-11-01,0,Arizona Diamondbacks,1600,1880000,0.315,2519560,31106,69780750,2004 Nov,11,2004,No Playoffs,Off-Season,0
2004-12-01,0,Arizona Diamondbacks,1600,1880000,0.315,2519560,31106,69780750,2004 Dec,12,2004,No Playoffs,Off-Season,0
2005-01-01,0,Arizona Diamondbacks,12000,1880000,0.475,2059424,25425,62629166,2005 Jan,1,2005,No Playoffs,Off-Season,0
2005-02-01,0,Arizona Diamondbacks,12000,1880000,0.475,2059424,25425,62629166,2005 Feb,2,2005,No Playoffs,Off-Season,0
2005-03-01,1,Arizona Diamondbacks,12000,1880000,0.475,2059424,25425,62629166,2005 Mar,3,2005,No Playoffs,Off-Season,0
2005-04-01,1,Arizona Diamondbacks,12000,1880000,0.475,2059424,25425,62629166,2005 Apr,4,2005,No Playoffs,Opening,0
2005-05-01,1,Arizona Diamondbacks,12000,1880000,0.475,2059424,25425,62629166,2005 May,5,2005,No Playoffs,Season,0
2005-06-01,1,Arizona Diamondbacks,12000,1880000,0.475,2059424,25425,62629166,2005 Jun,6,2005,No Playoffs,Season,0
2005-07-01,1,Arizona Diamondbacks,12000,1880000,0.475,2059424,25425,62629166,2005 Jul,7,2005,No Playoffs,Season,0
2005-08-01,1,Arizona Diamondbacks,12000,1880000,0.475,2059424,25425,62629166,2005 Aug,8,2005,No Playoffs,Season,0
2005-09-01,1,Arizona Diamondbacks,12000,1880000,0.475,2059424,25425,62629166,2005 Sep,9,2005,No Playoffs,Season,0
2005-10-01,0,Arizona Diamondbacks,12000,1880000,0.475,2059424,25425,62629166,2005 Oct,10,2005,No Playoffs,Playoffs,1
2005-11-01,0,Arizona Diamondbacks,12000,1880000,0.475,2059424,25425,62629166,2005 Nov,11,2005,No Playoffs,Off-Season,0
2005-12-01,0,Arizona Diamondbacks,12000,1880000,0.475,2059424,25425,62629166,2005 Dec,12,2005,No Playoffs,Off-Season,0
2006-01-01,0,Arizona Diamondbacks,10000,1880000,0.469,2091685,25823,59984226,2006 Jan,1,2006,No Playoffs,Off-Season,0
2006-02-01,0,Arizona Diamondbacks,10000,1880000,0.469,2091685,25823,59984226,2006 Feb,2,2006,No Playoffs,Off-Season,0
