Year,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Managers
2005,OAK,"2,109,118","26,038",28.6,26.6,100,100,0,1,7,"$55,425,762 ",2:45,Macha
2005,PHI,"2,665,304","32,905",30,29.7,105,104,1,3,16,"$95,522,000 ",2:51,Manuel
2005,PIT,"1,817,245","22,435",27.4,28.7,99,99,0,1,13,"$38,133,000 ",2:46,McClendon and Mackanin
2005,SDP,"2,869,787","35,429",31.1,31,91,91,1,1,12,"$63,290,833 ",2:47,Bochy
2005,SEA,"2,725,459","33,648",28.7,31.4,95,96,0,1,21,"$87,754,334 ",2:47,Hargrove
2005,SFG,"3,181,023","39,272",32.2,30,101,101,0,1,11,"$90,199,500 ",2:46,Alou
2005,STL,"3,538,988","43,691",30.8,29.7,101,100,1,6,14,"$92,106,833 ",2:48,La Russa
2005,TBD,"1,141,669","14,095",27.5,27.4,98,100,0,1,6,"$29,679,067 ",2:48,Piniella
2005,TEX,"2,525,221","31,176",27.9,30.5,106,105,0,4,17,"$55,849,000 ",2:52,Showalter
2005,TOR,"2,014,995","24,876",28,28.2,102,102,1,2,8,"$45,719,500 ",2:46,Gibbons
2005,WSN,"2,731,993","33,728",29.3,28.9,95,96,0,2,14,"$48,581,500 ",2:55,Robinson
2006,ARI,"2,091,685","25,823",29.7,28.8,105,105,0,1,14,"$59,984,226 ",2:52,Melvin
2006,ATL,"2,550,524","31,488",27.5,29.4,100,99,2,3,12,"$90,156,876 ",2:50,Cox
2006,BAL,"2,153,139","26,582",30.4,27.9,99,99,0,1,9,"$72,585,582 ",2:53,Perlozzo
2006,BOS,"2,930,588","36,180",30.5,31.1,105,104,0,4,18,"$120,099,824 ",3:08,Francona
2006,CHC,"3,123,215","38,558",28.6,28,103,103,1,1,13,"$94,424,499 ",2:50,Baker
2006,CHW,"2,957,414","36,511",29.8,27.9,104,104,1,7,16,"$102,750,667 ",2:49,Guillen
2006,CIN,"2,134,607","26,353",29.6,29.5,104,104,1,1,13,"$60,909,519 ",2:50,Narron
2006,CLE,"1,997,995","24,667",27.7,28.6,99,98,0,1,14,"$56,031,500 ",2:54,Wedge
2006,COL,"2,104,362","25,980",27.8,28.8,109,109,0,2,10,"$41,233,000 ",2:51,Hurdle
2006,DET,"2,595,937","32,049",29.3,28.8,100,99,1,3,15,"$82,612,866 ",2:46,Leyland
2006,HOU,"3,022,763","37,318",30.5,29.8,100,99,1,2,9,"$100,894,435 ",2:54,Garner
